Canonical study,Comparison ID,Intervention arm,Comparator arm,Outcome family,Outcome/result,Timepoint/window,Data type,Randomized n intervention,Randomized n comparator,Analyzed n intervention,Analyzed n comparator,Mean intervention,SD intervention,Median intervention,Q1 intervention,Q3 intervention,Events intervention,Mean comparator,SD comparator,Median comparator,Q1 comparator,Q3 comparator,Events comparator,Unit/scale,Reported P,Directly reported?,Derived/converted?,Derived effect measure,Derived effect,Exact 0-24 h postoperative opioid?,Primary opioid meta-analysis eligible?,Other analysis eligibility,Shared-control / multi-arm issue,Source-QC issue,Source location,Source PDF URL,Record status,AF lock IDs,AF target(s),AF endpoint stratum(s),AF reconciliation action(s),AF include strict,AF include sensitivity,AF overall RoB,AF unresolved priority,AF hold/exclude note,AF source-truth result(s)
Oztas 2019,OZT19_TAES_vs_CTRL_PAIN2H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Pain,Resting postoperative pain after stimulation,2 h after surgery / after intervention,Mean/SD,16,16,15,16,3.67,1.44,,,,,6.38,2.09,,,,,VAS (methods state 1–10; tables include 0),3-group P=.001; TAES vs control P<.05 per text,Yes,No,MD,-2.71,No,No,Eligible for timepoint-specific resting-pain analysis; 22 h is approximate-not-exact 24 h,Three-arm RCT; do not double-count study across contrasts,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 2 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / OPEN-LABEL + VAS-SCALE QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,3.67±1.44 vs 6.38±2.09 VAS (methods state 1–10; tables include 0); 3-group P=.001; TAES vs control P<.05 per text
Oztas 2019,OZT19_TAES_vs_TENS_PAIN2H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Pain,Resting postoperative pain after stimulation,2 h after surgery / after intervention,Mean/SD,16,16,15,16,3.67,1.44,,,,,4.75,1.57,,,,,VAS (methods state 1–10; tables include 0),TAES vs TENS P>0.05 per text; 3-group P=.001,Yes,No,MD,-1.08,No,No,Active electrical-comparator timepoint-specific pain analysis,Three-arm RCT; active electrical comparator,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 2 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + OPEN-LABEL QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,3.67±1.44 vs 4.75±1.57 VAS (methods state 1–10; tables include 0); TAES vs TENS P>0.05 per text; 3-group P=.001
Oztas 2019,OZT19_TAES_vs_CTRL_PAIN18H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Pain,Resting postoperative pain after stimulation,18 h after surgery / after intervention,Mean/SD,16,16,15,16,2.67,1.23,,,,,5.81,2.31,,,,,VAS (methods state 1–10; tables include 0),3-group P<.001; TAES vs control P<.05 per text,Yes,No,MD,-3.1399999999999997,No,No,Eligible for timepoint-specific resting-pain analysis; 22 h is approximate-not-exact 24 h,Three-arm RCT; do not double-count study across contrasts,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 18 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / OPEN-LABEL + VAS-SCALE QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,2.67±1.23 vs 5.81±2.31 VAS (methods state 1–10; tables include 0); 3-group P<.001; TAES vs control P<.05 per text
Oztas 2019,OZT19_TAES_vs_TENS_PAIN18H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Pain,Resting postoperative pain after stimulation,18 h after surgery / after intervention,Mean/SD,16,16,15,16,2.67,1.23,,,,,2.19,1.27,,,,,VAS (methods state 1–10; tables include 0),TAES vs TENS P>0.05 per text; 3-group P<.001,Yes,No,MD,0.48,No,No,Active electrical-comparator timepoint-specific pain analysis,Three-arm RCT; active electrical comparator,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 18 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + OPEN-LABEL QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,2.67±1.23 vs 2.19±1.27 VAS (methods state 1–10; tables include 0); TAES vs TENS P>0.05 per text; 3-group P<.001
Oztas 2019,OZT19_TAES_vs_CTRL_PAIN22H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Pain,Resting postoperative pain after stimulation,22 h after surgery / after intervention,Mean/SD,16,16,15,16,3,1.3,,,,,4.88,1.78,,,,,VAS (methods state 1–10; tables include 0),3-group P<.001; TAES vs control P<.05 per text,Yes,No,MD,-1.88,No,No,Eligible for timepoint-specific resting-pain analysis; 22 h is approximate-not-exact 24 h,Three-arm RCT; do not double-count study across contrasts,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 22 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / OPEN-LABEL + VAS-SCALE QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,3.0±1.3 vs 4.88±1.78 VAS (methods state 1–10; tables include 0); 3-group P<.001; TAES vs control P<.05 per text
Oztas 2019,OZT19_TAES_vs_TENS_PAIN22H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Pain,Resting postoperative pain after stimulation,22 h after surgery / after intervention,Mean/SD,16,16,15,16,3,1.3,,,,,2.19,1.22,,,,,VAS (methods state 1–10; tables include 0),TAES vs TENS P>0.05 per text; 3-group P<.001,Yes,No,MD,0.81,No,No,Active electrical-comparator timepoint-specific pain analysis,Three-arm RCT; active electrical comparator,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 22 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + OPEN-LABEL QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,3.0±1.3 vs 2.19±1.22 VAS (methods state 1–10; tables include 0); TAES vs TENS P>0.05 per text; 3-group P<.001
Oztas 2019,OZT19_TAES_vs_CTRL_PAIN42H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Pain,Resting postoperative pain after stimulation,42 h after surgery / after intervention,Mean/SD,16,16,15,16,2.27,1.28,,,,,4.19,1.6,,,,,VAS (methods state 1–10; tables include 0),3-group P<.001; TAES vs control P<.05 per text,Yes,No,MD,-1.9200000000000004,No,No,Eligible for timepoint-specific resting-pain analysis; 22 h is approximate-not-exact 24 h,Three-arm RCT; do not double-count study across contrasts,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 42 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / OPEN-LABEL + VAS-SCALE QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,2.27±1.28 vs 4.19±1.6 VAS (methods state 1–10; tables include 0); 3-group P<.001; TAES vs control P<.05 per text
Oztas 2019,OZT19_TAES_vs_TENS_PAIN42H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Pain,Resting postoperative pain after stimulation,42 h after surgery / after intervention,Mean/SD,16,16,15,16,2.27,1.28,,,,,1.56,1.15,,,,,VAS (methods state 1–10; tables include 0),TAES vs TENS P>0.05 per text; 3-group P<.001,Yes,No,MD,0.71,No,No,Active electrical-comparator timepoint-specific pain analysis,Three-arm RCT; active electrical comparator,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 42 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + OPEN-LABEL QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,2.27±1.28 vs 1.56±1.15 VAS (methods state 1–10; tables include 0); TAES vs TENS P>0.05 per text; 3-group P<.001
Oztas 2019,OZT19_TAES_vs_CTRL_PAIN46H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Pain,Resting postoperative pain after stimulation,46 h after surgery / after intervention,Mean/SD,16,16,15,16,2.33,0.81,,,,,4,1.46,,,,,VAS (methods state 1–10; tables include 0),3-group P<.001; TAES vs control P<.05 per text,Yes,No,MD,-1.67,No,No,Eligible for timepoint-specific resting-pain analysis; 22 h is approximate-not-exact 24 h,Three-arm RCT; do not double-count study across contrasts,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 46 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / OPEN-LABEL + VAS-SCALE QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,2.33±0.81 vs 4.0±1.46 VAS (methods state 1–10; tables include 0); 3-group P<.001; TAES vs control P<.05 per text
Oztas 2019,OZT19_TAES_vs_TENS_PAIN46H,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",Incision-periphery TENS (2–100 Hz; max 12 mA; 30 min ×6),Pain,Resting postoperative pain after stimulation,46 h after surgery / after intervention,Mean/SD,16,16,15,16,2.33,0.81,,,,,1.75,0.85,,,,,VAS (methods state 1–10; tables include 0),TAES vs TENS P>0.05 per text; 3-group P<.001,Yes,No,MD,0.5800000000000001,No,No,Active electrical-comparator timepoint-specific pain analysis,Three-arm RCT; active electrical comparator,Open-label subjective outcome; source methods describe VAS 1–10 although tabulated minima include 0.,Table 3 / after-implementation pain at 46 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,SOURCE-VERIFIED / ACTIVE-COMPARATOR + OPEN-LABEL QC,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,,2.33±0.81 vs 1.75±0.85 VAS (methods state 1–10; tables include 0); TAES vs TENS P>0.05 per text; 3-group P<.001
Oztas 2019,OZT19_TAES_vs_CTRL_NAUSEA24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,PONV,Nausea severity,0-24 h,Qualitative / exact group values unavailable,16,16,15,16,,,,,,,,,,,,,VAS 1-10,No significant between-group difference; exact P/value not reported,No,No,,,No,No,Not quantitatively poolable without source/raw group values,Three-arm RCT,Article states no significant group difference but does not provide group-specific nausea values in the main text/tables.,Results / postoperative 0–6 and 6–24 h nausea statement,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,MISSING / EXACT GROUP DATA NOT REPORTED,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,Exact group values unavailable.,No significant between-group difference stated; exact group-specific values are not reported.
Oztas 2019,OZT19_TAES_vs_CTRL_VOMIT24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,PONV,Vomiting occurrence,0-24 h,Qualitative / exact group values unavailable,16,16,15,16,,,,,,,,,,,,,events/participants,No significant between-group difference; exact P/counts not reported,No,No,,,No,No,Not quantitatively poolable without source/raw event counts,Three-arm RCT,Article states no significant group difference but does not provide group-specific vomiting counts in the main text/tables.,Results / postoperative 0–6 and 6–24 h vomiting statement,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,MISSING / EXACT GROUP DATA NOT REPORTED,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,Exact group values unavailable.,No significant between-group difference stated; exact group-specific values are not reported.
Oztas 2019,OZT19_TAES_vs_CTRL_TOTALOP24,"Postoperative TAES at ST25, P6, ST36 and LI4 (2–100 Hz; max 12 mA; 30 min ×6)",No electrical-stimulation intervention + standard PCA analgesia,Opioid consumption,Complete combined postoperative opioid exposure (tramadol + rescue pethidine),0-24 h,Not calculable,16,16,15,16,,,,,,,,,,,,,MME / combined opioid dose,,No,No,,,Yes,No,Not eligible for strict total-opioid meta-analysis without participant-level covariance/raw data,Three-arm RCT,Tramadol and pethidine are reported separately as aggregate mean/SD. The SD of their within-person sum cannot be recovered from aggregate data without covariance.,Table 4 / tramadol + pethidine 0–24 h,https://drive.google.com/file/d/1Zb2RyfK6pYLEOMyE6TOLMt9I0nxZYoYe/view?usp=drivesdk,MISSING / COMBINED TOTAL NOT CALCULABLE,,,,SOURCE_DIRECT_V29_OZTAS2019,0,0,,,Combined total-opioid SD not recoverable from separate aggregate tramadol and pethidine summaries.,"0–24 h tramadol and pethidine are separately reported, but combined total-opioid variance is not calculable from aggregate data."
Song 2020,SONG20_TEAS_vs_SHAM_SUFINTRA,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Intraoperative opioid,Total intraoperative sufentanil consumption,Intraoperative,Mean/SD,42,43,42,43,18.54,2.3,,,,,19.09,2.7,,,,,µg sufentanil,0.322,Yes,No,MD,-0.5500000000000007,No,No,Eligible for intraoperative opioid-requirement analysis,No,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,Table 1,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,SOURCE-VERIFIED,,,,SOURCE_DIRECT_V30_SONG2020,0,0,,,,
Song 2020,SONG20_TEAS_vs_SHAM_PAIN2H,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Pain,Postoperative VAS pain score,2 h after surgery,Mean/SD,42,43,42,43,4.74,1.5,,,,,5.77,1.2,,,,,VAS 0-10,0.001,Yes,No,MD,-1.0299999999999994,No,No,Eligible for pain meta-analysis at the stated timepoint,No,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,Table 3,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,SOURCE-VERIFIED,,,,SOURCE_DIRECT_V30_SONG2020,0,0,,,,
Song 2020,SONG20_TEAS_vs_SHAM_PAIN4H,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Pain,Postoperative VAS pain score,4 h after surgery,Mean/SD,42,43,42,43,3.93,1.3,,,,,5.02,1.2,,,,,VAS 0-10,<0.001,Yes,No,MD,-1.0899999999999994,No,No,Eligible for pain meta-analysis at the stated timepoint,No,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,Table 3,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,SOURCE-VERIFIED,,,,SOURCE_DIRECT_V30_SONG2020,0,0,,,,
Song 2020,SONG20_TEAS_vs_SHAM_PAIN6H,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Pain,Postoperative VAS pain score,6 h after surgery,Mean/SD,42,43,42,43,3.69,1.1,,,,,4.33,1,,,,,VAS 0-10,0.007,Yes,No,MD,-0.6400000000000001,No,No,Eligible for pain meta-analysis at the stated timepoint,No,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,Table 3,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,SOURCE-VERIFIED,,,,SOURCE_DIRECT_V30_SONG2020,0,0,,,,
Song 2020,SONG20_TEAS_vs_SHAM_PAIN24H,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Pain,Postoperative VAS pain score,24 h after surgery,Mean/SD,42,43,42,43,2.76,1.1,,,,,3.23,1.1,,,,,VAS 0-10,0.053,Yes,No,MD,-0.4700000000000002,No,No,Eligible for pain meta-analysis at the stated timepoint,No,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,Table 3,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,SOURCE-VERIFIED,,,,SOURCE_DIRECT_V30_SONG2020,0,0,,,,2.76±1.1 vs 3.23±1.1 VAS; P=0.053
Song 2020,SONG20_TEAS_vs_SHAM_PCAPRESS24,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,PCA demand/proxy,PCA pump press number,0-24 h,Mean/SD,42,43,42,43,30.12,4.3,,,,,36.91,2.4,,,,,pump presses,<0.001,Yes,No,MD,-6.789999999999996,No,No,PCA behavior/device-use analysis only,No,"Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking. Direct endpoint is press count, not drug mass.",Table 3,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,SOURCE-VERIFIED / PCA-BEHAVIOR,,,,SOURCE_DIRECT_V30_SONG2020,0,0,Some concerns,,Direct PCA press-count endpoint; do not relabel as drug dose.,30.12±4.3 vs 36.91±2.4 presses; P<0.001
Song 2020,SONG20_TEAS_vs_SHAM_BUTORPCA24_DERIVED,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Opioid consumption,Nominal butorphanol PCA bolus component derived from reported pump presses,0-24 h,Derived mean/SD (linear from press count),42,43,42,43,2.4096,0.344,,,,,2.9528,0.192,,,,,mg butorphanol,<0.001 (press-count comparison),No,Yes,MD,-0.5431999999999997,Yes,No,Conditional drug-specific postoperative opioid analysis,No,Derived only if each reported pump press corresponds to the programmed 2-mL infusion; 15-min lockout creates device-semantics ambiguity. Butorphanol-to-review-standard MME conversion must be explicitly prespecified.,PCA formulation in Methods + Table 3 press counts,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,DERIVED / DEVICE-SEMANTICS QC,,,,SOURCE_DIRECT_V30_SONG2020,0,0,Some concerns,,Conditional derived butorphanol bolus component; device semantics + conversion rule required.,2.4096±0.3440 vs 2.9528±0.1920 mg butorphanol (derived)
Song 2020,SONG20_TEAS_vs_SHAM_PONV24,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,PONV,Nausea and vomiting adverse event,0-24 h,Events/total,42,43,42,43,,,,,,3,,,,,,10,participants with nausea/vomiting,0.039,Yes,No,RR,0.3071428571428571,No,No,Eligible for 0-24 h PONV meta-analysis,No,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,Table 3,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,SOURCE-VERIFIED,,,,SOURCE_DIRECT_V30_SONG2020,0,0,,,,3/42 vs 10/43; P=0.039
Song 2020,SONG20_TEAS_vs_SHAM_DIZZY24,Perioperative TEAS: PC6/HT7 preoperatively; PC6/HT7/ST36/LI4 postoperatively (2/10 Hz; 30-min sessions),Active nonacupoint electrical stimulation with matched timing/frequency,Other adverse events,Dizziness,0-24 h,Events/total,42,43,42,43,,,,,,3,,,,,,12,participants with dizziness,0.012,Yes,No,RR,0.25595238095238093,No,No,Eligible for secondary adverse-event analysis,No,Authors report 85 in ITT and 78 PP; Table 3/Table 2 retain original 42/43 group denominators. Active nonacupoint stimulation was used to preserve masking.,Table 3,https://drive.google.com/file/d/1qL50sUze8YDRs_oIXFWTbVUL5102qnw4/view?usp=drivesdk,SOURCE-VERIFIED,,,,SOURCE_DIRECT_V30_SONG2020,0,0,,,,
