"screening_sequence","covidence_number","title","first_author","publication_year","publication_language","abstract_available","decision","primary_reason_code","evidence_supporting_decision","concise_rationale","confidence","record_type","actual_results_reported","general_anaesthesia","randomized","intervention","comparator","background_care_balanced","ERAS_balance","intervention_effect_separable","timing_eligible","timing_description","clinical_outcome_present","surrogate_only","translation_required","possible_companion_report","vote_registered","post_vote_timestamp","interface_issue","notes"
"469","1649","Transcutaneous auricular electrical acupoint stimulation for short-term efficacy evaluation of pulmonary function in perioperative period of thoracoscopic lobect","ITMCTR2025001331","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025001331 is a trial-registration record without participant results.","Trial registration without results; auricular electrical stimulation is excluded.","high","trial_registration","no","unclear","yes","Transcutaneous auricular electrical stimulation","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:14.108Z","none","ITMCTR2025001331"
"470","1651","The transcutaneous acupoint electrical stimulation performed at different perioperative timepoints for prevention of postoperative nausea and vomiting in high risk gynaecological patients undergoing laparoscopic surgery","ChiCTR1800018773","2018","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR1800018773 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:17.269Z","none","ChiCTR1800018773"
"471","1652","A Study on the Analgesic Efficacy and Safety of Transcutaneous Acupoint Electrical Stimulation in Patients Undergoing Single-Port Thoracoscopic Radical Lung Cancer Surgery","ChiCTR2400092998","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2400092998 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:35.813Z","none","ChiCTR2400092998"
"472","1653","Effect of Transcutaneous Acupoint Electrical Stimulation on Postoperative Hypoxemia in Elderly Patients After Laparoscopic Surgery: a Single-Center Randomized Clinical Trial","ITMCTR2025001046","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025001046 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:38.954Z","none","ITMCTR2025001046"
"473","1654","Transcutaneous acupoint electrical stimulation combined bilateral transverse abdominal muscle block and ondansetron for prevention of gynecological laparoscopic surgery in patients with postoperative nausea and vomiting","ChiCTR2200058283","2022","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2200058283 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:42.118Z","none","ChiCTR2200058283"
"474","1656","The effect of Transcutaneous electric acupoint stimulation on the quality of early recovery in patients undergoing gynecological laparoscopic surgery: a prospective, randomized, placebo-controlled trial","ChiCTR-INR-15007473","2015","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR-INR-15007473 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:45.266Z","none","ChiCTR-INR-15007473"
"475","1657","Effect of Transcutaneous Acupoint Electrical Stimulation on Sleep Disorder and Mental Adverse Reaction after Breast Cancer Operation in Middle-aged and Elderly Patients","ChiCTR2500103877","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500103877 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:48.421Z","none","ChiCTR2500103877"
"476","1658","Combination of Aprepitant and Transcutaneous Acupoint Electrical Stimulation for the prophylaxis of postoperative nausea and vomiting after gynecologic laparoscopic surgery: a prospective randomized controlled study","ChiCTR1900024389","2019","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR1900024389 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:51.566Z","none","ChiCTR1900024389"
"477","1659","Efficacy of transcutaneous electrical acupoint stimulation (TEAS) on early mobilization in patients undergoing percutaneous transforaminal endoscopic discectomy: a prospective randomized controlled trial","ITMCTR2025000779","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025000779 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:54.715Z","none","ITMCTR2025000779"
"478","1660","Effects of transcutaneous electrical acupoint stimulation (TEAS) on early mobilisation in patients undergoing unilateral biportal endoscopic discectomy: a study for a prospective randomized controlled trial","ChiCTR2400083344","2024","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2400083344 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:46:57.865Z","none","ChiCTR2400083344"
"479","1661","A randomized controlled trial of transcutaneous electrical acupoint stimulation in the prevention of postoperative nausea and vomiting in patients undergoing tympanoplasty","ChiCTR2400082649","2024","English","no","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2400082649 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:47:01.016Z","none","ChiCTR2400082649"
"480","1662","Prevention Strategy for Post-ERCP Cognitive Dysfunction (POCD) Based on Traditional Chinese Medicine Theory: application and Management of Transcutaneous Electrical Acupoint Stimulation (TEAS)","ITMCTR2025000996","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025000996 is a trial-registration record without participant results.","Trial registration without results; ERCP is a non-operative endoscopic procedure.","high","trial_registration","no","no","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:47:04.166Z","none","ITMCTR2025000996"
"481","1663","Application of Transcutaneous Electrical Acupoint Stimulation Combined with Ultrasound-Guided Thoracolumbar Interfascial Plane Block in Children with Cerebral Palsy undergoing Selective Posterior Rhizotomy","ChiCTR2200061543","2022","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2200061543 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:47:07.315Z","none","ChiCTR2200061543; pediatric population"
"482","1664","Effect of transcutaneous electrical acupoint stimulation aided anesthesia on T-lymphocyte in elderly patients undergoing total knee arthroplasty/ total hip arthroplasty and the impact of postoperative outcomes","ChiCTR2500095554","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500095554 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:47:10.466Z","none","ChiCTR2500095554"
"483","1665","A Double-Blind Randomized Controlled Trial Protocol of Transcutaneous Electrical Acupoint Stimulation for Preventing Post-TURP Complications: the TEAS-PRO Trial","ChiCTR2500110428","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR2500110428 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:47:13.615Z","none","ChiCTR2500110428"
"484","1666","Study on Prevention and Treatment of Postoperative Nausea and Vomiting with Transcutaneous Electrical Acupoint Stimulation in High-Risk Patients Undergoing Gynecological Laparoscopic Surgery","ITMCTR2026000460","2026","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2026000460 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:47:16.769Z","none","ITMCTR2026000460"
"485","1667","Effects and underlying mechanism of transcutaneous electrical acupoint stimulation on the in vitro fertilization outcomes in infertile women with polycystic ovary syndrome","ChiCTR-INR-17012147","2017","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ChiCTR-INR-17012147 is a trial-registration record without participant results.","Trial registration without results; IVF is non-operative.","high","trial_registration","no","no","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:47:19.917Z","none","ChiCTR-INR-17012147"
"486","1668","The Effect of Perioperative Transcutaneous Electrical Acupoint Stimulation Combined With Traditional Chinese Medicine on Gastrointestinal Function Recovery in Patients Undergoing Abdominal Surgery","NCT07081802","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT07081802 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS combined with traditional Chinese medicine","Planned control/sham","unclear","not_applicable","unclear","unclear","","yes","no","no","no","yes","2026-07-26T11:47:23.066Z","none","NCT07081802"
"487","1669","Transcutaneous electrical acupoint stimulation vs. sham stimulation combined with dexamethasone vs. tropisetron for preventing postoperative nausea and vomiting after cesarean delivery: protocol for a randomized controlled factorial Trial","ITMCTR2025001044","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","ITMCTR2025001044 is a trial-registration record without participant results.","Trial registration without results; cesarean delivery anaesthesia may be non-general.","high","trial_registration","no","unclear","yes","TEAS","Planned control/sham","unclear","not_applicable","yes","unclear","","yes","no","no","no","yes","2026-07-26T11:47:26.215Z","none","ITMCTR2025001044"
"488","1670","The Effect of Transcutaneous Electrical Acupoint Stimulation Combined With Transcutaneous Auricular Vagus Nerve Stimulation on Postoperative Delirium in Elderly Patients Undergoing Gastrointestinal Surgery","NCT07045090","2025","English","yes","No","EXCLUDE_PROTOCOL_NO_RESULTS","NCT07045090 is a trial-registration record without participant results.","Trial registration without results.","high","trial_registration","no","unclear","yes","TEAS plus transauricular vagus stimulation","Planned control/sham","unclear","not_applicable","no","unclear","","yes","no","no","no","yes","2026-07-26T11:47:26.891Z","none","NCT07045090"
